Name,Designator,Quantity,Supplier,Supplier Part,Price
100uF,"C4,C3",10,LCSC,C72473,0.4
AO3407A,"Q1,Q2",10,LCSC,C15155,0.99
12MHz,X1,5,LCSC,C5346045,0.51
10.0 QTJ6.3,"USB1,USB2,USB3,USB4",20,LCSC,C404966,0.93
HYCW498-USBC16-735B,U2,5,LCSC,C42400252,0.48
SL2.1A,U3,5,LCSC,C192893,1.21
100kΩ,"R3,R4",10,LCSC,C3016388,0.59
12251103CNG0S115001,U4,5,LCSC,C429954,0.1
10uF,"C1,C2,C5,C6,C7,C8",30,LCSC,C5137483,0.58
5.1kΩ,"R1,R2",10,LCSC,C3017855,0.14
USB-U203-BDS,U1,5,LCSC,C2962378,0.47
PCB,,5,JLCPCB,,4.8
Total cost:,USD,,,,11.2